request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
4,PreferredOperatorRequest,1,360,360,2977;-1;-1,2983;-1;-1,,,,,13.47694671413731,112.30788928447757,0:t_wait:0;t_drive:43.476946714137284;fare:100;willing:True|1:t_wait:132.58664960817623;t_drive:43.476946714137284;fare:100;willing:True,,,0,4,360,403.47694671413734,100,0
0,PreferredOperatorRequest,1,180,180,2966;-1;-1,2988;-1;-1,,,,,278.91382899027775,2634.7327710788463,0:t_wait:154.03520157294633;t_drive:308.9138289902778;fare:263;willing:True|1:t_wait:0;t_drive:308.91382899027775;fare:263;willing:True,,,1,0,180,488.9138289902776,263,0
1,PreferredOperatorRequest,1,180,180,2966;-1;-1,2973;-1;-1,,,,,296.69307469402173,2980.382453472116,0:t_wait:154.03520157294633;t_drive:326.6930746940218;fare:298;willing:True|1:t_wait:0;t_drive:376.34142212259326;fare:298;willing:True,,,1,0,180,556.3414221225929,298,0
3,PreferredOperatorRequest,1,360,360,2982;-1;-1,2980;-1;-1,,,,,158.13938860976756,1274.3900625592087,0:t_wait:11.83038934960257;t_drive:188.1393886097676;fare:127;willing:True|1:t_wait:0;t_drive:188.1393886097676;fare:127;willing:True,,,1,2,360,548.1393886097674,127,0
2,PreferredOperatorRequest,1,300,300,2970;-1;-1,2987;-1;-1,,,,,171.63648313227776,1834.4631759372724,0:t_wait:104.91513427278915;t_drive:201.63648313227782;fare:183;willing:True|1:t_wait:106.77085137296007;t_drive:201.63648313227776;fare:183;willing:True,,,1,1,406.7708513729601,608.4073345052377,183,0
5,PreferredOperatorRequest,1,660,660,2983;-1;-1,2985;-1;-1,,,,,77.7585747541395,660.473174979857,0:t_wait:0;t_drive:107.75857475413954;fare:100;willing:True|1:t_wait:100.42005346517067;t_drive:107.75857475413954;fare:100;willing:True,,,1,4,760.4200534651706,868.1786282193101,100,0
6,PreferredOperatorRequest,1,840,840,2993;-1;-1,2988;-1;-1,,,,,208.72429496749368,2316.518160262808,0:t_wait:16.501022452873258;t_drive:238.72429496749373;fare:231;willing:True|1:t_wait:220.58874104780648;t_drive:238.72429496749373;fare:231;willing:True,,,0,2,856.5010224528733,1095.2253174203668,231,0
9,PreferredOperatorRequest,1,900,900,2976;-1;-1,2982;-1;-1,,,,,113.5625231680923,828.4892168769597,0:t_wait:40.54091773259995;t_drive:143.5625231680923;fare:100;willing:True|1:t_wait:113.23706194000329;t_drive:143.56252316809218;fare:100;willing:True,,,0,4,940.5409177326,1084.103440900692,100,0
8,PreferredOperatorRequest,1,900,900,2977;-1;-1,2986;-1;-1,,,,,111.94455948550961,1060.4065922814564,0:t_wait:14.744653285862682;t_drive:141.94455948550956;fare:106;willing:True|1:t_wait:83.83847853172324;t_drive:141.94455948550967;fare:106;willing:True,,,1,4,983.8384785317231,1125.7830380172325,106,0
7,PreferredOperatorRequest,1,840,840,2966;-1;-1,2967;-1;-1,,,,,103.09018014133937,889.1057434150202,0:t_wait:229.98696027803135;t_drive:133.09018014133926;fare:100;willing:True|1:t_wait:280.00167958811517;t_drive:133.09018014133926;fare:100;willing:True,,,1,2,1120.0016795881152,1253.091859729454,100,0
