sim_time,reservation_time_trigger,user_requests,request_batch
0,0.0,0.0,0.014
60,0.0,0.0,0.0121
120,0.0,0.0,0.01239
180,0.0,5e-05,0.1212
240,0.0,0.0,0.01742
300,0.0,4e-05,0.07311
360,0.0,4e-05,0.08353
420,0.0,0.0,0.01203
480,0.0,0.0,0.01467
540,0.0,0.0,0.01469
600,0.0,0.0,0.01477
660,0.0,3e-05,0.01559
720,0.0,0.0,0.01593
780,0.0,0.0,0.01505
840,0.0,5e-05,0.03918
900,0.0,4e-05,0.06944
960,0.0,3e-05,0.07766
1020,0.0,0.0,0.01292
1080,0.0,5e-05,0.04888
1140,0.0,2e-05,0.0843
1200,0.0,0.0001,0.04032
1260,0.0,0.0,0.01197
1320,0.0,3e-05,0.01401
1380,0.0,0.0,0.01101
1440,0.0,3e-05,0.01042
1500,0.0,9e-05,0.12111
1560,0.0,5e-05,0.04664
1620,0.0,8e-05,0.0319
1680,0.0,0.0001,0.10673
1740,0.0,0.0,0.02104
1800,0.0,0.0,0.03184
1860,0.0,0.0,0.01228
1920,0.0,0.0,0.00982
1980,0.0,0.0,0.01226
2040,0.0,8e-05,0.03874
2100,0.0,4e-05,0.07623
2160,0.0,3e-05,0.01006
2220,0.0,0.0,0.00922
2280,0.0,4e-05,0.01231
2340,0.0,3e-05,0.03513
2400,0.0,4e-05,0.00861
2460,0.0,3e-05,0.05774
2520,0.0,3e-05,0.01352
2580,0.0,0.00011,0.04423
2640,0.0,0.0,0.01979
2700,0.0,4e-05,0.05186
2760,0.0,4e-05,0.06126
2820,0.0,0.0,0.01401
2880,0.0,7.000000000000001e-05,0.08956
2940,0.0,3e-05,0.02343
3000,0.0,3e-05,0.02623
3060,0.0,0.0001,0.08678
3120,0.0,0.0,0.02296
3180,0.0,0.0,0.01919
3240,0.0,0.0,0.00883
3300,0.0,3e-05,0.04474
3360,0.0,3e-05,0.0104
3420,0.0,4e-05,0.00939
3480,0.0,0.0,0.01416
3540,0.0,0.0,0.0104
3600,0.0,5e-05,0.00967
3660,0.0,0.0,0.01149
3720,0.0,3e-05,0.02317
3780,0.0,0.0,0.01242
3840,0.0,0.00012,0.05066
3900,0.0,0.0,0.01503
3960,0.0,0.0,0.0097
4020,0.0,0.0,0.01113
4080,0.0,0.0,0.0146
4140,0.0,0.0,0.01055
4200,0.0,0.0,0.01135
4260,0.0,4e-05,0.01207
4320,0.0,7.000000000000001e-05,0.0261
4380,0.0,6e-05,0.01395
4440,0.0,5e-05,0.01078
4500,0.0,0.0,0.01126
4560,0.0,2e-05,0.0116
4620,0.0,0.00013000000000000002,0.0468
4680,0.0,3e-05,0.01039
4740,0.0,0.0,0.012
4800,0.0,0.0,0.01117
4860,0.0,5e-05,0.00791
4920,0.0,4e-05,0.0252
4980,0.0,5e-05,0.04696
5040,0.0,0.0,0.01775
5100,0.0,3e-05,0.01176
5160,0.0,3e-05,0.05145
5220,0.0,2e-05,0.01201
5280,0.0,0.0,0.00939
5340,0.0,0.0,0.02342
5400,0.0,7.000000000000001e-05,0.0659
5460,0.0,7.000000000000001e-05,0.04
5520,0.0,9e-05,0.01599
5580,0.0,7.000000000000001e-05,0.06063
5640,0.0,0.0,0.01084
5700,0.0,6e-05,0.02604
5760,0.0,3e-05,0.04444
5820,0.0,0.0,0.03645
5880,0.0,0.0,0.01473
5940,0.0,0.0,0.01276
6000,0.0,0.0,0.0119
6060,0.0,3e-05,0.00919
6120,0.0,0.0,0.01626
6180,0.0,0.0,0.00522
6240,0.0,3e-05,0.02915
6300,0.0,0.0,0.01226
6360,0.0,0.0,0.01377
6420,0.0,3e-05,0.03162
6480,0.0,0.0,0.00886
6540,0.0,5e-05,0.01397
6600,0.0,5e-05,0.02308
6660,0.0,4e-05,0.02785
6720,0.0,0.0,0.06432
6780,0.0,0.0,0.01244
6840,0.0,7.000000000000001e-05,0.05018
6900,0.0,6e-05,0.05016
6960,0.0,0.0,0.03979
7020,0.0,0.0,0.0109
7080,0.0,0.0,0.01098
7140,0.0,3e-05,0.00942
