request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
4,UserDecisionRequest,1,360,360,2977;-1;-1,2983;-1;-1,,,,,13.47694671413731,112.30788928447757,0:t_wait:0;t_drive:43.476946714137284;fare:100;willing:True|1:t_wait:132.58664960817623;t_drive:43.476946714137284;fare:100;willing:True,,,0,4,360,403.47694671413734,100,0
0,UserDecisionRequest,1,180,180,2966;-1;-1,2988;-1;-1,,,,,278.91382899027775,2634.7327710788463,0:t_wait:154.03520157294633;t_drive:308.9138289902778;fare:263;willing:True|1:t_wait:0;t_drive:308.91382899027775;fare:263;willing:True,,,1,0,180,488.9138289902776,263,0
1,UserDecisionRequest,1,180,180,2966;-1;-1,2973;-1;-1,,,,,296.69307469402173,2980.382453472116,0:t_wait:154.03520157294633;t_drive:326.6930746940218;fare:298;willing:True|1:t_wait:0;t_drive:376.34142212259326;fare:298;willing:True,,,1,0,180,556.3414221225929,298,0
3,UserDecisionRequest,1,360,360,2982;-1;-1,2980;-1;-1,,,,,158.13938860976756,1274.3900625592087,0:t_wait:11.83038934960257;t_drive:188.1393886097676;fare:127;willing:True|1:t_wait:0;t_drive:188.1393886097676;fare:127;willing:True,,,1,2,360,548.1393886097674,127,0
2,UserDecisionRequest,1,300,300,2970;-1;-1,2987;-1;-1,,,,,171.63648313227776,1834.4631759372724,0:t_wait:104.91513427278915;t_drive:201.63648313227782;fare:183;willing:True|1:t_wait:106.77085137296007;t_drive:201.63648313227776;fare:183;willing:True,,,0,2,404.9151342727892,606.5516174050668,183,0
5,UserDecisionRequest,1,660,660,2983;-1;-1,2985;-1;-1,,,,,77.7585747541395,660.473174979857,0:t_wait:0;t_drive:107.75857475413954;fare:100;willing:True|1:t_wait:100.42005346517067;t_drive:107.75857475413954;fare:100;willing:True,,,0,4,660,767.7585747541395,100,0
8,UserDecisionRequest,1,900,900,2977;-1;-1,2986;-1;-1,,,,,111.94455948550961,1060.4065922814564,0:t_wait:83.83847853172324;t_drive:141.94455948550967;fare:106;willing:True|1:t_wait:132.58664960817623;t_drive:141.94455948550967;fare:106;willing:True,,,0,4,983.8384785317231,1125.7830380172325,106,0
6,UserDecisionRequest,1,840,840,2993;-1;-1,2988;-1;-1,,,,,208.72429496749368,2316.518160262808,0:t_wait:188.9662684610778;t_drive:238.72429496749373;fare:231;willing:True|1:t_wait:20.890707553044194;t_drive:238.72429496749373;fare:231;willing:True,,,1,1,860.8907075530442,1099.6150025205377,231,0
9,UserDecisionRequest,1,900,900,2976;-1;-1,2982;-1;-1,,,,,113.5625231680923,828.4892168769597,0:t_wait:99.8766090386531;t_drive:143.5625231680923;fare:100;willing:True|1:t_wait:113.23706194000329;t_drive:143.56252316809218;fare:100;willing:True,,,0,0,999.876609038653,1143.4391322067454,100,0
7,UserDecisionRequest,1,840,840,2966;-1;-1,2967;-1;-1,,,,,103.09018014133937,889.1057434150202,0:t_wait:229.98696027803135;t_drive:133.09018014133926;fare:100;willing:True|1:t_wait:229.98696027803135;t_drive:133.09018014133926;fare:100;willing:True,,,0,1,1069.9869602780316,1203.0771404193704,100,0
