sim_time,reservation_time_trigger,charging_strategy,dyn_fleetsizing_strategy,user_requests,request_batch
0,0.0,0.0,0.0,0.0,0.22474
60,0.0,0.0,0.0,0.0,0.06464
120,0.0,0.0,0.0,0.0,0.0181
180,0.0,0.036,0.0,0.04392,0.08717
240,0.0,0.0,0.0,0.0,0.05249
300,0.0,0.0,0.0,0.0296,0.15202
360,0.0,0.0,0.0,0.050269999999999995,0.13678
420,0.0,0.0,0.0,0.0,0.02035
480,0.0,0.0,0.0,0.0,0.08698
540,0.0,0.0,0.0,0.0,0.07607
600,0.0,0.0,0.0,0.0,0.02376
660,0.0,0.0,0.0,0.03735,0.09844
720,0.0,0.0,0.0,0.0,0.02746
780,0.0,0.0,0.0,0.0,0.02861
840,0.0,0.076,0.0,0.04048,0.10875
900,0.0,0.0,0.0,0.051390000000000005,0.1787
960,0.0,0.035,0.0,0.02972,0.11158
1020,0.0,0.0,0.0,0.0,0.06069
1080,0.0,0.0,0.0,0.04496,0.01948
1140,0.0,0.0,0.0,0.03226,0.02427
1200,0.0,0.0,0.0,0.02272,0.03994
1260,0.0,0.0,0.0,0.0,0.02984
1320,0.0,0.0,0.0,0.03224,0.02006
1380,0.0,0.0,0.0,0.0,0.01955
1440,0.0,0.0,0.0,0.03672,0.01485
1500,0.0,0.0,0.0,0.11034,0.01384
1560,0.0,0.0,0.0,0.01057,0.01697
1620,0.0,0.0,0.0,0.036129999999999995,0.01388
1680,0.0,0.0,0.0,0.06849,0.16931
1740,0.0,0.0,0.0,0.0,0.03009
1800,0.0,0.0,0.029,0.0,0.03371
1860,0.0,0.0,0.0,0.0,0.02304
1920,0.0,0.0,0.0,0.0,0.0296
1980,0.0,0.001,0.001,0.0,0.02973
2040,0.0,0.0,0.0,0.04333,0.0168
2100,0.0,0.0,0.0,0.02014,0.03621
2160,0.0,0.0,0.0,0.02646,0.02779
2220,0.0,0.0,0.001,0.0,0.02801
2280,0.0,0.0,0.0,0.03651,0.02057
2340,0.0,0.0,0.0,0.02638,0.01453
2400,0.0,0.0,0.0,0.01386,0.01317
2460,0.0,0.0,0.0,0.0236,0.01454
2520,0.0,0.0,0.0,0.03056,0.01725
2580,0.0,0.0,0.0,0.02066,0.01464
2640,0.0,0.0,0.0,0.0,0.01718
2700,0.0,0.0,0.0,0.02978,0.01417
2760,0.0,0.0,0.0,0.0223,0.06654
2820,0.0,0.0,0.0,0.0,0.02052
2880,0.0,0.0,0.0,0.06871,0.02166
2940,0.0,0.0,0.0,0.04202,0.01812
3000,0.0,0.0,0.0,0.03284,0.01669
3060,0.0,0.0,0.0,0.07619000000000001,0.07415
3120,0.0,0.0,0.0,0.0,0.05309
3180,0.0,0.0,0.0,0.0,0.02506
3240,0.0,0.044,0.0,0.0,0.08705
3300,0.0,0.0,0.0,0.01237,0.02779
3360,0.0,0.0,0.0,0.02276,0.02562
3420,0.0,0.0,0.0,0.03693,0.0219
3480,0.0,0.0,0.0,0.0,0.031
3540,0.0,0.0,0.0,0.0,0.03366
3600,0.0,0.0,0.018,0.06508,0.02242
3660,0.0,0.0,0.0,0.0,0.04159
3720,0.0,0.025,0.0,0.03727,0.07228
3780,0.0,0.0,0.0,0.0,0.04836
3840,0.0,0.025,0.0,0.11467,0.16806
3900,0.0,0.0,0.0,0.0,0.05199
3960,0.0,0.0,0.0,0.0,0.05269
4020,0.0,0.0,0.0,0.0,0.04369
4080,0.0,0.0,0.0,0.0,0.03288
4140,0.0,0.0,0.0,0.0,0.05349
4200,0.0,0.0,0.0,0.0,0.02663
4260,0.0,0.041,0.0,0.03562,0.08033
4320,0.0,0.043,0.0,0.04707,0.1094
4380,0.0,0.0,0.0,0.01993,0.0482
4440,0.0,0.0,0.0,0.0624,0.0219
4500,0.0,0.0,0.0,0.0,0.02736
4560,0.0,0.0,0.0,0.02132,0.03004
4620,0.0,0.0,0.0,0.04079,0.10775
4680,0.0,0.043,0.0,0.03133,0.05032
4740,0.0,0.0,0.0,0.0,0.03891
4800,0.0,0.0,0.0,0.0,0.03858
4860,0.0,0.0,0.0,0.02838,0.01962
4920,0.0,0.0,0.0,0.027590000000000003,0.01821
4980,0.0,0.0,0.0,0.04374,0.02009
5040,0.0,0.0,0.0,0.0,0.02406
5100,0.0,0.0,0.0,0.02959,0.08026
5160,0.0,0.0,0.0,0.03999,0.01644
5220,0.0,0.0,0.0,0.01843,0.01995
5280,0.0,0.041,0.0,0.0,0.04772
5340,0.0,0.0,0.0,0.0,0.02312
5400,0.0,0.0,0.031,0.04819,0.0891
5460,0.0,0.0,0.0,0.04348,0.02211
5520,0.0,0.0,0.0,0.05927,0.02845
5580,0.0,0.0,0.0,0.04604,0.04246
5640,0.0,0.0,0.0,0.0,0.029
5700,0.0,0.0,0.0,0.03794,0.0186
5760,0.0,0.0,0.0,0.02998,0.01681
5820,0.0,0.0,0.0,0.0,0.0186
5880,0.0,0.0,0.0,0.0,0.01689
5940,0.0,0.0,0.001,0.0,0.01779
6000,0.0,0.0,0.0,0.0,0.02056
6060,0.0,0.0,0.0,0.02569,0.06402
6120,0.0,0.0,0.0,0.0,0.04077
6180,0.0,0.0,0.0,0.0,0.02841
6240,0.0,0.0,0.0,0.03884,0.08159
6300,0.0,0.0,0.0,0.0,0.03263
6360,0.0,0.0,0.0,0.0,0.01983
6420,0.0,0.0,0.0,0.07703,0.12476
6480,0.0,0.0,0.0,0.0,0.02569
6540,0.0,0.034,0.0,0.02037,0.0691
6600,0.0,0.0,0.0,0.07058,0.10457
6660,0.0,0.0,0.0,0.1032,0.02811
6720,0.0,0.0,0.0,0.0,0.06003
6780,0.0,0.0,0.0,0.0,0.02031
6840,0.0,0.065,0.0,0.04269,0.07237
6900,0.0,0.0,0.0,0.029769999999999998,0.05798
6960,0.0,0.0,0.0,0.0,0.03132
7020,0.0,0.0,0.0,0.0,0.0301
7080,0.0,0.0,0.0,0.0,0.02161
7140,0.0,0.0,0.0,0.03323,0.0396
