request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
0,BasicRequest,1,180,180,2966;-1;-1,2988;-1;-1,,,,,278.91382899027775,2634.7327710788463,0:,,,,,,,,0
1,BasicRequest,1,180,180,2966;-1;-1,2973;-1;-1,,,,,296.69307469402173,2980.382453472116,0:,,,,,,,,0
4,BasicRequest,1,360,360,2977;-1;-1,2983;-1;-1,,,,,13.47694671413731,112.30788928447757,0:,,,,,,,,0
3,BasicRequest,1,360,360,2982;-1;-1,2980;-1;-1,,,,,158.13938860976754,1274.3900625592087,0:t_wait:171.36338281880387;t_drive:188.13938860976748;fare:127,,,0,20,531.3633828188039,719.5027714285715,127,0
2,BasicRequest,1,300,300,2970;-1;-1,2987;-1;-1,,,,,171.63648313227776,1834.4631759372724,0:t_wait:193.215410005821;t_drive:201.63648313227782;fare:183,,,0,49,493.21541000582107,694.8518931380985,183,0
6,BasicRequest,1,840,840,2993;-1;-1,2988;-1;-1,,,,,208.72429496749368,2316.518160262808,0:,,,,,,,,0
7,BasicRequest,1,840,840,2966;-1;-1,2967;-1;-1,,,,,103.09018014133937,889.1057434150202,0:,,,,,,,,0
5,BasicRequest,1,660,660,2983;-1;-1,2985;-1;-1,,,,,77.7585747541395,660.473174979857,0:t_wait:242.7752710645459;t_drive:107.75857475413954;fare:100,,,0,49,902.7752710645458,1010.5338458186853,100,0
9,BasicRequest,1,900,900,2976;-1;-1,2982;-1;-1,,,,,113.5625231680923,828.4892168769597,0:t_wait:233.45092479356867;t_drive:143.56252316809218;fare:100,,,0,20,1133.4509247935687,1277.013447961661,100,0
8,BasicRequest,1,900,900,2977;-1;-1,2986;-1;-1,,,,,111.94455948550961,1060.4065922814564,0:t_wait:224.37232435040846;t_drive:141.94455948550967;fare:106,,,0,49,1124.372324350408,1266.3168838359172,106,0
11,BasicRequest,1,1080,1080,2977;-1;-1,2981;-1;-1,,,,,113.57192524896666,969.4191104080554,0:t_wait:251.03528091826;t_drive:143.57192524896664;fare:100,,,0.0,2.0,1331.0352809182596,1474.6072061672264,100.0,0
10,BasicRequest,1,960,960,2977;-1;-1,2991;-1;-1,,,,,254.82775117248474,2383.691365711668,0:t_wait:164.37232435040846;t_drive:361.46068717248477;fare:238,,,0.0,49.0,1124.372324350408,1485.8330115228919,238.0,0
18,BasicRequest,1,1500,1500,2989;-1;-1,2977;-1;-1,,,,,200.30021679086175,2168.7248732571807,0:,,,,,,,,0
19,BasicRequest,1,1500,1500,2989;-1;-1,2975;-1;-1,,,,,126.96715614988648,1557.6160345823869,0:,,,,,,,,0
13,BasicRequest,1,1140,1140,2987;-1;-1,2984;-1;-1,,,,,127.4257940665604,1389.2919531006646,0:t_wait:286.0903891345215;t_drive:157.42579406656046;fare:138,,,0,14,1426.0903891345206,1583.5161832010806,138,0
12,BasicRequest,1,1080,1080,2992;-1;-1,2980;-1;-1,,,,,198.06309279928786,2377.7959948882412,0:t_wait:259.45692662928354;t_drive:228.06309279928792;fare:237,,,0,15,1339.4569266292838,1567.5200194285724,237,0
14,BasicRequest,1,1200,1200,2975;-1;-1,2981;-1;-1,,,,,108.18066588994196,924.4919490828495,0:t_wait:256.84331399157054;t_drive:138.18066588994202;fare:100,,,0,20,1456.8433139915705,1595.0239798815126,100,0
20,BasicRequest,1,1560,1560,2981;-1;-1,2979;-1;-1,,,,,36.17924043220354,176.13052741122,0:t_wait:35.023979881512105;t_drive:66.17924043220364;fare:100,,,0,20,1595.0239798815126,1661.2032203137164,100,0
15,BasicRequest,1,1320,1320,2993;-1;-1,2969;-1;-1,,,,,63.79644102995483,886.0616809715947,0:t_wait:252.58591647161802;t_drive:93.79644102995485;fare:100,,,0,49,1572.5859164716178,1666.3823575015724,100,0
17,BasicRequest,1,1500,1500,2984;-1;-1,2972;-1;-1,,,,,166.20078449443824,1890.1043999290782,0:t_wait:137.8769443439387;t_drive:196.20078449443827;fare:189,,,0,2,1637.8769443439387,1834.0777288383763,189,0
16,BasicRequest,1,1440,1440,2977;-1;-1,2979;-1;-1,,,,,85.83247653831305,715.2706378192755,0:t_wait:217.04195177540214;t_drive:115.83247653831313;fare:100,,,0,14,1657.0419517754017,1802.8744283137148,100,0
21,BasicRequest,1,1620,1620,2978;-1;-1,2979;-1;-1,,,,,37.42546113022892,311.87884275190765,0:t_wait:115.44896718348582;t_drive:67.425461130229;fare:100,,,0,14,1735.4489671834858,1802.8744283137148,100,0
22,BasicRequest,1,1620,1620,2985;-1;-1,2982;-1;-1,,,,,129.65668328940987,1095.1193087163879,0:t_wait:198.39697724367988;t_drive:159.65668328940978;fare:109,,,0,20,1818.3969772436799,1978.0536605330894,109,0
23,BasicRequest,1,1680,1680,2967;-1;-1,2990;-1;-1,,,,,137.56405431369114,1532.7491772517287,0:t_wait:107.67779344731571;t_drive:167.56405431369103;fare:153,,,0,49,1787.677793447316,1985.241847761007,153,0
