request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
0,BasicRequest,1,180,180,2966;-1;-1,2988;-1;-1,,,,,278.91382899027775,2634.7327710788463,0:,,,,,,,,0
1,BasicRequest,1,180,180,2966;-1;-1,2973;-1;-1,,,,,296.69307469402173,2980.382453472116,0:,,,,,,,,0
4,BasicRequest,1,360,360,2977;-1;-1,2983;-1;-1,,,,,13.47694671413731,112.30788928447757,0:,,,,,,,,0
3,BasicRequest,1,360,360,2982;-1;-1,2980;-1;-1,,,,,158.13938860976754,1274.3900625592087,0:t_wait:171.36338281880387;t_drive:188.13938860976748;fare:127,,,0,20,531.3633828188039,719.5027714285715,127,0
2,BasicRequest,1,300,300,2970;-1;-1,2987;-1;-1,,,,,171.63648313227776,1834.4631759372724,0:t_wait:193.215410005821;t_drive:201.63648313227782;fare:183,,,0,49,493.21541000582107,694.8518931380985,183,0
6,BasicRequest,1,840,840,2993;-1;-1,2988;-1;-1,,,,,208.72429496749368,2316.518160262808,0:,,,,,,,,0
7,BasicRequest,1,840,840,2966;-1;-1,2967;-1;-1,,,,,103.09018014133937,889.1057434150202,0:,,,,,,,,0
5,BasicRequest,1,660,660,2983;-1;-1,2985;-1;-1,,,,,77.7585747541395,660.473174979857,0:t_wait:242.7752710645459;t_drive:107.75857475413954;fare:100,,,0,49,902.7752710645458,1010.5338458186853,100,0
9,BasicRequest,1,900,900,2976;-1;-1,2982;-1;-1,,,,,113.5625231680923,828.4892168769597,0:t_wait:233.45092479356867;t_drive:143.56252316809218;fare:100,,,0,49,1094.2143030828595,1237.776826250952,100,0
8,BasicRequest,1,900,900,2977;-1;-1,2986;-1;-1,,,,,111.94455948550961,1060.4065922814564,0:t_wait:224.37232435040846;t_drive:141.94455948550967;fare:106,,,0,20,1151.0352809182605,1292.9798404037697,106,0
11,BasicRequest,1,1080,1080,2977;-1;-1,2981;-1;-1,,,,,113.57192524896666,969.4191104080554,0:t_wait:267.44872435040793;t_drive:143.57192524896664;fare:100,,,0.0,49.0,1347.4487243504084,1491.0206495993752,100.0,0
18,BasicRequest,1,1500,1500,2989;-1;-1,2977;-1;-1,,,,,200.30021679086175,2168.7248732571807,0:,,,,,,,,0
19,BasicRequest,1,1500,1500,2989;-1;-1,2975;-1;-1,,,,,126.96715614988648,1557.6160345823869,0:,,,,,,,,0
10,BasicRequest,1,960,960,2977;-1;-1,2991;-1;-1,,,,,254.82775117248474,2383.691365711668,0:t_wait:191.03528091826;t_drive:361.460687172485;fare:238,,,0,20,1151.0352809182605,1512.4959680907443,238,0
13,BasicRequest,1,1140,1140,2987;-1;-1,2984;-1;-1,,,,,127.4257940665604,1389.2919531006646,0:t_wait:286.0903891345215;t_drive:157.42579406656046;fare:138,,,0,2,1426.0903891345206,1583.5161832010806,138,0
14,BasicRequest,1,1200,1200,2975;-1;-1,2981;-1;-1,,,,,108.18066588994196,924.4919490828495,0:t_wait:247.98453684871333;t_drive:138.18066588994202;fare:100,,,0,14,1447.9845368487127,1586.1652027386544,100,0
12,BasicRequest,1,1080,1080,2992;-1;-1,2980;-1;-1,,,,,198.06309279928786,2377.7959948882412,0:t_wait:259.45692662928354;t_drive:228.06309279928792;fare:237,,,0,15,1339.4569266292838,1567.5200194285724,237,0
20,BasicRequest,1,1560,1560,2981;-1;-1,2979;-1;-1,,,,,36.17924043220354,176.13052741122,0:t_wait:26.165202738654443;t_drive:66.17924043220364;fare:100,,,0,14,1586.1652027386544,1652.3444431708583,100,0
15,BasicRequest,1,1320,1320,2993;-1;-1,2969;-1;-1,,,,,63.79644102995483,886.0616809715947,0:t_wait:279.2488730394707;t_drive:93.79644102995485;fare:100,,,0,20,1599.2488730394703,1693.0453140694249,100,0
17,BasicRequest,1,1500,1500,2984;-1;-1,2972;-1;-1,,,,,166.20078449443824,1890.1043999290782,0:t_wait:154.29038777608753;t_drive:196.20078449443827;fare:189,,,0,2,1583.5161832010806,1779.7169676955182,189,0
21,BasicRequest,1,1620,1620,2978;-1;-1,2979;-1;-1,,,,,37.42546113022892,311.87884275190765,0:t_wait:112.01431461563561;t_drive:67.425461130229;fare:100,,,0,49,1732.0143146156356,1799.4397757458646,100,0
16,BasicRequest,1,1440,1440,2977;-1;-1,2979;-1;-1,,,,,85.83247653831305,715.2706378192755,0:t_wait:217.04195177540214;t_drive:115.83247653831313;fare:100,,,0,49,1653.6072992075515,1799.4397757458646,100,0
22,BasicRequest,1,1620,1620,2985;-1;-1,2982;-1;-1,,,,,129.65668328940987,1095.1193087163879,0:t_wait:189.53820010082154;t_drive:159.65668328940978;fare:109,,,0,14,1809.538200100822,1969.1948833902316,109,0
23,BasicRequest,1,1680,1680,2967;-1;-1,2990;-1;-1,,,,,137.56405431369114,1532.7491772517287,0:t_wait:134.34075001516817;t_drive:167.56405431369126;fare:153,,,0,20,1814.3407500151684,2011.9048043288594,153,0
