time,event,station_id,ch_op_id,vid,op_id,veh_type,current_soc,socket_id,socket_power,initial_soc,transferred_power,connection_duration
2414.187017544738,detach,0,op_0,32,0,default_vehtype,1.0,0,15,0.809,9.559112573103073,2294.187017544738
3060,detach,1,op_0,10,0,default_vehtype,0.839,4,7.5,0.719,5.999999999999872,2880
3418.467944257109,detach,0,op_0,8,0,default_vehtype,1.0,0,15,0.916,4.184503861301547,1004.2809267123712
4440,detach,1,op_0,26,0,default_vehtype,0.887,1,7.5,0.707,8.999999999999808,4320
4440,detach,1,op_0,1,0,default_vehtype,0.885,4,7.5,0.835,2.4999999999999467,1200
4620,detach,1,op_0,1,0,default_vehtype,0.888,1,7.5,0.885,0.12499999999999734,60
4920,detach,1,op_0,1,0,default_vehtype,0.895,1,7.5,0.888,0.374999999999992,180
5400,detach,1,op_0,18,0,default_vehtype,0.885,4,7.5,0.857,1.3749999999999707,660
5520,detach,1,op_0,6,0,default_vehtype,0.855,3,7.5,0.633,11.124999999999762,5340
5520,detach,1,op_0,22,0,default_vehtype,0.845,2,7.5,0.622,11.124999999999762,5340
6060,detach,1,op_0,1,0,default_vehtype,0.91,2,7.5,0.895,0.749999999999984,360
6240,detach,1,op_0,15,0,default_vehtype,0.963,1,7.5,0.961,0.12499999999999734,60
6420,detach,1,op_0,14,0,default_vehtype,0.937,1,7.5,0.932,0.24999999999999467,120
6420,detach,1,op_0,1,0,default_vehtype,0.92,3,7.5,0.91,0.49999999999998934,240
6600,detach,1,op_0,1,0,default_vehtype,0.922,3,7.5,0.92,0.12499999999999734,60
6600,detach,1,op_0,18,0,default_vehtype,0.902,2,7.5,0.885,0.8749999999999813,420
6900,detach,1,op_0,23,0,default_vehtype,0.867,4,7.5,0.82,2.3749999999999494,1140
8035.064544435573,detach,1,op_0,15,0,default_vehtype,1.0,1,7.5,0.963,1.8647178009074061,895.0645444355732
8897.315435555767,detach,0,op_0,5,0,default_vehtype,1.0,0,15,0.543,22.82853121374441,5478.8474912986585
10992.713870898699,detach,1,op_0,12,0,default_vehtype,1.0,0,7.5,0.547,22.651487231038477,10872.713870898699
