sim_time,reservation_time_trigger,user_requests,request_batch
0,0.0,0.0,0.01436
60,0.0,0.0,0.01425
120,0.0,0.0,0.01095
180,0.0,0.0388,0.0465
240,0.0,0.0,0.01205
300,0.0,0.029,0.04734
360,0.0,0.07249,0.15697
420,0.0,0.0,0.01954
480,0.0,0.0,0.01418
540,0.0,0.0,0.01138
600,0.0,0.0,0.00867
660,0.0,0.01224,0.03034
720,0.0,0.0,0.01325
780,0.0,0.0,0.02339
840,0.0,0.0397,0.05313
900,0.0,0.08084,0.10088
960,0.0,0.05857,0.07452
1020,0.0,0.0,0.01967
1080,0.0,0.09756,0.15628
1140,0.0,0.03725,0.09339
1200,0.0,0.05115,0.08949
1260,0.0,0.0,0.0187
1320,0.0,0.05699,0.08398
1380,0.0,0.0,0.02948
1440,0.0,0.01839,0.03537
1500,0.0,0.11455,0.10825
1560,0.0,0.01636,0.0662
1620,0.0,0.07961,0.07461
1680,0.0,0.18147999999999997,0.1084
1740,0.0,0.0,0.04282
1800,0.0,0.0,0.04404
1860,0.0,0.0,0.02565
1920,0.0,0.0,0.01332
1980,0.0,0.0,0.00896
2040,0.0,0.05943,0.06165
2100,0.0,0.04202,0.0414
2160,0.0,0.02296,0.03687
2220,0.0,0.0,0.02946
2280,0.0,0.02368,0.04217
2340,0.0,0.03969,0.03314
2400,0.0,0.00918,0.03312
2460,0.0,0.04295,0.04845
2520,0.0,0.04124,0.07991
2580,0.0,0.01953,0.03752
2640,0.0,0.0,0.02115
2700,0.0,0.04341,0.03657
2760,0.0,0.01826,0.03003
2820,0.0,0.0,0.01714
2880,0.0,0.060399999999999995,0.07844
2940,0.0,0.02111,0.07048
3000,0.0,0.00849,0.04754
3060,0.0,0.05568,0.15886
3120,0.0,0.0,0.08033
3180,0.0,0.0,0.07719
3240,0.0,0.0,0.01342
3300,0.0,0.02725,0.03599
3360,0.0,0.02135,0.03247
3420,0.0,0.04881,0.06332
3480,0.0,0.0,0.04509
3540,0.0,0.0,0.03327
3600,0.0,0.06665,0.07735
3660,0.0,0.0,0.01449
3720,0.0,0.04735,0.0474
3780,0.0,0.0,0.01494
3840,0.0,0.09386000000000001,0.13073
3900,0.0,0.0,0.01782
3960,0.0,0.0,0.02565
4020,0.0,0.0,0.01852
4080,0.0,0.0,0.01405
4140,0.0,0.0,0.01072
4200,0.0,0.0,0.0112
4260,0.0,0.03045,0.02776
4320,0.0,0.03715,0.07899
4380,0.0,0.07437,0.04217
4440,0.0,0.03138,0.07357
4500,0.0,0.0,0.0246
4560,0.0,0.02594,0.05877
4620,0.0,0.043,0.08315
4680,0.0,0.0481,0.06787
4740,0.0,0.0,0.01764
4800,0.0,0.0,0.02802
4860,0.0,0.03609,0.03899
4920,0.0,0.04811,0.02767
4980,0.0,0.061439999999999995,0.0542
5040,0.0,0.0,0.01695
5100,0.0,0.05723,0.07522
5160,0.0,0.01916,0.0917
5220,0.0,0.01759,0.04767
5280,0.0,0.0,0.02046
5340,0.0,0.0,0.01744
5400,0.0,0.04502,0.04788
5460,0.0,0.06226000000000001,0.07577
5520,0.0,0.07929,0.07072
5580,0.0,0.0475,0.02782
5640,0.0,0.0,0.0104
