request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
4,BasicRequest,1,360,360,2977;-1;-1,2983;-1;-1,,,,,13.47694671413731,112.30788928447757,0:t_wait:79.67189809945614;t_drive:43.476946714137284;fare:100,,,0,4,439.6718980994563,483.14884481359366,100,0
0,BasicRequest,1,180,180,2966;-1;-1,2988;-1;-1,,,,,278.91382899027775,2634.7327710788463,0:t_wait:158.42488667311727;t_drive:308.9138289902778;fare:263,,,0,2,338.4248866731174,647.3387156633949,263,0
2,BasicRequest,1,300,300,2970;-1;-1,2987;-1;-1,,,,,171.63648313227776,1834.4631759372724,0:t_wait:214.96651469215976;t_drive:201.63648313227782;fare:183,,,0,1,514.9665146921598,716.6029978244372,183,0
1,BasicRequest,1,180,180,2966;-1;-1,2973;-1;-1,,,,,296.69307469402173,2980.382453472116,0:t_wait:158.42488667311727;t_drive:376.34142212259326;fare:298,,,0,2,338.4248866731174,714.7663087957102,298,0
5,BasicRequest,1,660,660,2983;-1;-1,2985;-1;-1,,,,,77.7585747541395,660.473174979857,0:t_wait:13.476946714137284;t_drive:107.75857475413954;fare:100,,,0,0,673.4769467141373,781.2355214682768,100,0
3,BasicRequest,1,360,360,2982;-1;-1,2980;-1;-1,,,,,158.13938860976756,1274.3900625592087,0:t_wait:0;t_drive:188.1393886097676;fare:127,,,0,4,611.2980000000001,799.4373886097677,127,0
8,BasicRequest,1,900,900,2977;-1;-1,2986;-1;-1,,,,,111.94455948550961,1060.4065922814564,0:t_wait:83.83847853172324;t_drive:141.94455948550967;fare:106,,,0,0,983.8384785317231,1125.7830380172325,106,0
9,BasicRequest,1,900,900,2976;-1;-1,2982;-1;-1,,,,,113.5625231680923,828.4892168769597,0:t_wait:99.8766090386531;t_drive:143.5625231680923;fare:100,,,0,3,999.876609038653,1143.4391322067454,100,0
7,BasicRequest,1,840,840,2966;-1;-1,2967;-1;-1,,,,,103.09018014133937,889.1057434150202,0:t_wait:280.00167958811517;t_drive:133.09018014133926;fare:100,,,0,4,1120.0016795881152,1253.091859729454,100,0
6,BasicRequest,1,840,840,2993;-1;-1,2988;-1;-1,,,,,208.72429496749368,2316.518160262808,0:t_wait:220.58874104780648;t_drive:238.72429496749373;fare:231,,,0,1,1060.5887410478058,1299.3130360152993,231,0
13,BasicRequest,1,1140,1140,2987;-1;-1,2984;-1;-1,,,,,127.4257940665604,1389.2919531006646,0:t_wait:10.320430280955861;t_drive:157.42579406656046;fare:138,,,0,2,1150.320430280956,1307.746224347516,138,0
10,BasicRequest,1,960,960,2977;-1;-1,2991;-1;-1,,,,,254.82775117248474,2383.691365711668,0:t_wait:23.838478531723126;t_drive:361.4606871724849;fare:238,,,0,0,983.8384785317231,1345.299165704207,238,0
11,BasicRequest,1,1080,1080,2977;-1;-1,2981;-1;-1,,,,,113.57192524896666,969.4191104080554,0:t_wait:173.11103030620166;t_drive:143.57192524896664;fare:100,,,0,3,1253.1110303062019,1396.6829555551687,100,0
15,BasicRequest,1,1320,1320,2993;-1;-1,2969;-1;-1,,,,,63.79644102995483,886.0616809715947,0:t_wait:112.05207065293325;t_drive:93.79644102995485;fare:100,,,0,0,1432.052070652933,1525.8485116828876,100,0
