sim_time,zone_id,horizon_start,horizon_end,number_idle,incoming,incoming_repo,tot_fc_demand,tot_fc_supply
0,0,0,900,0,0,0,1.0,
0,1,0,900,12,12,0,1.0,
0,2,0,900,0,0,0,16.0,
0,3,0,900,0,0,0,2.0,
0,-1,0,900,0,0,0,,
0,4,0,900,0,0,0,,
0,5,0,900,0,0,0,,
300,0,300,1200,0,1,0,1.0,
300,1,300,1200,4,4,0,1.0,
300,2,300,1200,0,3,0,16.0,
300,3,300,1200,0,0,0,2.0,
300,-1,300,1200,0,0,0,,
300,4,300,1200,1,3,0,,
300,5,300,1200,0,0,1,,
600,0,600,1500,0,1,0,1.0,
600,1,600,1500,1,1,0,1.0,
600,2,600,1500,0,5,0,16.0,
600,3,600,1500,0,1,0,2.0,
600,-1,600,1500,0,0,0,,
600,4,600,1500,1,3,0,,
600,5,600,1500,0,1,0,,
900,0,900,1800,0,1,0,1.0,
900,1,900,1800,0,1,0,1.0,
900,2,900,1800,0,5,0,16.0,
900,3,900,1800,0,2,0,2.0,
900,-1,900,1800,0,0,0,,
900,4,900,1800,1,2,0,,
900,5,900,1800,1,1,0,,
1200,0,1200,2100,1,2,0,6.0,
1200,1,1200,2100,1,1,0,1.0,
1200,2,1200,2100,1,5,0,15.0,
1200,3,1200,2100,1,3,0,5.0,
1200,-1,1200,2100,0,0,0,,
1200,4,1200,2100,0,0,0,,
1200,5,1200,2100,1,1,0,,
1500,0,1500,2400,1,5,0,6.0,
1500,1,1500,2400,0,1,0,1.0,
1500,2,1500,2400,0,5,0,15.0,
1500,3,1500,2400,0,1,0,5.0,
1500,-1,1500,2400,0,0,0,,
1500,4,1500,2400,0,0,0,,
1500,5,1500,2400,0,0,0,,
1800,0,1800,2700,1,1,0,6.0,
1800,1,1800,2700,1,2,0,1.0,
1800,2,1800,2700,0,6,0,15.0,
1800,3,1800,2700,0,1,0,5.0,
1800,-1,1800,2700,0,0,0,,
1800,4,1800,2700,0,1,0,,
1800,5,1800,2700,0,1,0,,
2100,0,2100,3000,1,2,0,3.0,
2100,2,2100,3000,0,5,0,13.999999999999998,
2100,3,2100,3000,1,1,0,1.0,
2100,4,2100,3000,0,2,0,4.0,
2100,5,2100,3000,0,0,0,2.0,
2100,-1,2100,3000,0,0,0,,
2100,1,2100,3000,0,2,0,,
2400,0,2400,3300,1,2,0,3.0,
2400,2,2400,3300,2,5,0,13.999999999999998,
2400,3,2400,3300,0,0,0,1.0,
2400,4,2400,3300,0,1,0,4.0,
2400,5,2400,3300,0,1,0,2.0,
2400,-1,2400,3300,0,0,0,,
2400,1,2400,3300,2,3,0,,
2700,0,2700,3600,0,2,0,3.0,
2700,2,2700,3600,0,4,0,14.0,
2700,3,2700,3600,0,0,0,1.0,
2700,4,2700,3600,0,3,0,4.0,
2700,5,2700,3600,0,0,0,2.0,
2700,-1,2700,3600,0,0,0,,
2700,1,2700,3600,0,3,0,,
3000,0,3000,3900,1,2,0,6.0,
3000,1,3000,3900,2,2,0,1.0,
3000,2,3000,3900,1,2,0,6.999999999999999,
3000,3,3000,3900,0,3,0,4.0,
3000,4,3000,3900,1,3,0,6.0,
3000,-1,3000,3900,0,0,0,,
3000,5,3000,3900,0,0,0,,
3300,0,3300,4200,1,4,0,6.0,
3300,1,3300,4200,1,1,0,1.0,
3300,2,3300,4200,0,3,0,6.999999999999999,
3300,3,3300,4200,0,2,0,4.0,
3300,4,3300,4200,1,2,0,6.0,
3300,-1,3300,4200,0,0,0,,
3300,5,3300,4200,0,0,0,,
3600,0,3600,4500,1,2,0,6.0,
3600,1,3600,4500,0,0,0,1.0,
3600,2,3600,4500,1,6,0,7.0,
3600,3,3600,4500,1,4,0,4.0,
3600,4,3600,4500,0,0,0,6.0,
3600,-1,3600,4500,0,0,0,,
3600,5,3600,4500,0,0,0,,
3900,2,3900,4800,3,7,0,13.999999999999998,
3900,3,3900,4800,1,4,0,8.0,
3900,4,3900,4800,0,1,0,2.0,
3900,-1,3900,4800,0,0,0,,
3900,0,3900,4800,0,0,0,,
3900,1,3900,4800,0,0,0,,
3900,5,3900,4800,0,0,0,,
4200,2,4200,5100,2,5,0,13.999999999999998,
4200,3,4200,5100,4,6,0,8.0,
4200,4,4200,5100,0,1,0,2.0,
4200,-1,4200,5100,0,0,0,,
4200,0,4200,5100,0,0,0,,
4200,1,4200,5100,0,0,0,,
4200,5,4200,5100,0,0,0,,
4500,2,4500,5400,3,7,0,14.0,
4500,3,4500,5400,0,1,0,8.0,
4500,4,4500,5400,1,1,0,2.0,
4500,-1,4500,5400,0,0,0,,
4500,0,4500,5400,1,1,0,,
4500,1,4500,5400,1,1,0,,
4500,5,4500,5400,1,1,0,,
4800,0,4800,5700,1,2,0,4.0,
4800,2,4800,5700,1,5,0,12.0,
4800,3,4800,5700,1,2,0,3.0,
4800,4,4800,5700,1,2,0,2.0,
4800,5,4800,5700,0,1,0,1.0,
4800,-1,4800,5700,0,0,0,,
4800,1,4800,5700,0,0,0,,
5100,0,5100,6000,1,5,0,4.0,
5100,2,5100,6000,4,5,0,12.0,
5100,3,5100,6000,1,1,0,3.0,
5100,4,5100,6000,0,1,0,2.0,
5100,5,5100,6000,0,0,0,1.0,
5100,-1,5100,6000,0,0,0,,
5100,1,5100,6000,0,0,0,,
5400,0,5400,6300,2,4,0,4.0,
5400,2,5400,6300,3,5,0,12.0,
5400,3,5400,6300,0,1,0,3.0,
5400,4,5400,6300,0,1,0,2.0,
5400,5,5400,6300,0,1,0,1.0,
5400,-1,5400,6300,0,0,0,,
5400,1,5400,6300,0,0,0,,
5700,0,5700,6600,4,5,0,4.0,
5700,1,5700,6600,0,0,0,2.0,
5700,2,5700,6600,2,4,0,11.0,
5700,3,5700,6600,1,1,0,1.0,
5700,4,5700,6600,0,2,0,3.0,
5700,5,5700,6600,0,0,0,2.0,
5700,-1,5700,6600,0,0,0,,
6000,0,6000,6900,1,2,0,4.0,
6000,1,6000,6900,0,2,0,2.0,
6000,2,6000,6900,2,5,0,11.0,
6000,3,6000,6900,0,0,0,1.0,
6000,4,6000,6900,1,1,0,3.0,
6000,5,6000,6900,1,2,0,2.0,
6000,-1,6000,6900,0,0,0,,
6300,0,6300,7200,0,2,0,4.0,
6300,1,6300,7200,1,1,0,2.0,
6300,2,6300,7200,3,5,0,11.0,
6300,3,6300,7200,0,0,0,1.0,
6300,4,6300,7200,0,1,0,3.0,
6300,5,6300,7200,1,3,0,2.0,
6300,-1,6300,7200,0,0,0,,
6600,0,6600,7500,0,0,0,4.0,
6600,2,6600,7500,1,7,0,12.0,
6600,3,6600,7500,0,0,0,1.0,
6600,4,6600,7500,1,3,0,3.0,
6600,5,6600,7500,2,2,0,1.0,
6600,-1,6600,7500,0,0,0,,
6600,1,6600,7500,0,0,0,,
6900,0,6900,7800,0,1,0,4.0,
6900,2,6900,7800,4,6,0,12.0,
6900,3,6900,7800,0,0,0,1.0,
6900,4,6900,7800,0,3,0,3.0,
6900,5,6900,7800,2,2,0,1.0,
6900,-1,6900,7800,0,0,0,,
6900,1,6900,7800,0,0,0,,
