request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
2,BasicRequest,1,60,60,2988;-1;-1,2976;-1;-1,,,,,134.3821430723187,1582.840839174761,0:t_wait:0;t_drive:164.3821430723187;fare:158,,,0,6,60,224.3821430723187,158,0
11,BasicRequest,1,300,300,2984;-1;-1,2979;-1;-1,,,,,129.35824511263414,1077.9853759386178,0:,,,,,,,,0
5,BasicRequest,1,180,180,2981;-1;-1,2986;-1;-1,,,,,145.75221823654294,1365.123481873401,0:t_wait:0;t_drive:175.75221823654294;fare:136,,,0,1,180.0,355.75221823654294,136,0
7,BasicRequest,1,180,180,2991;-1;-1,2992;-1;-1,,,,,35.86219739568159,498.08607494002206,0:t_wait:61.393890604318415;t_drive:65.86219739568156;fare:100,,,0,3,241.39389060431841,307.2560879999999,100,0
3,BasicRequest,1,120,120,2979;-1;-1,2972;-1;-1,,,,,248.48565138180408,2598.7980239904605,0:t_wait:37.42546113022891;t_drive:278.48565138180413;fare:259,,,0,2,156.1792404322035,434.6648918140075,259,0
4,BasicRequest,1,120,120,2984;-1;-1,2992;-1;-1,,,,,244.36331714248752,2495.7221787710323,0:t_wait:133.26973817671225;t_drive:274.3633171424875;fare:249,,,0,4,166.32663142567893,440.6899485681664,249,0
6,BasicRequest,1,180,180,2970;-1;-1,2974;-1;-1,,,,,171.40087382851814,1831.1908244961664,0:t_wait:47.7124542727891;t_drive:201.40087382851817;fare:183,,,0,5,227.71245427278907,429.11332810130716,183,0
1,BasicRequest,1,60,60,2969;-1;-1,2986;-1;-1,,,,,237.17544633434414,2168.5367546436687,0:t_wait:133.9859750527389;t_drive:267.1754463343441;fare:216,,,0,5,117.93167148282812,465.66371781717214,216,0
9,BasicRequest,1,240,240,2974;-1;-1,2984;-1;-1,,,,,76.72125937032003,685.0623045417705,0:t_wait:172.82362064727477;t_drive:106.72125937032001;fare:100,,,0,0,412.82362064727454,519.5448800175947,100,0
0,BasicRequest,1,60,60,2973;-1;-1,2968;-1;-1,,,,,210.33560283374288,2456.135150468651,0:t_wait:200.9820240347616;t_drive:240.33560283374288;fare:245,,,0,7,260.98202403476154,501.31762686850414,245,0
21,BasicRequest,1,600,600,2989;-1;-1,2983;-1;-1,,,,,228.90991779071337,2321.4607625416584,0:,,,,,,,,0
10,BasicRequest,1,300,300,2979;-1;-1,2982;-1;-1,,,,,48.027808219373625,400.2317351614469,0:t_wait:262.02519243220354;t_drive:78.02780821937358;fare:100,,,0.0,1.0,562.0251924322035,640.0530006515771,100.0,0
23,BasicRequest,1,660,660,2969;-1;-1,2983;-1;-1,,,,,279.6765855629719,3227.3280516466893,0:,,,,,,,,0
12,BasicRequest,1,360,360,2990;-1;-1,2980;-1;-1,,,,,183.0318893854258,2002.113969023027,0:t_wait:139.41977141386207;t_drive:213.0318893854257;fare:200,,,0,3,499.4197714138621,712.4516607992877,200,0
18,BasicRequest,1,540,540,2985;-1;-1,2981;-1;-1,,,,,118.68608378068984,1026.684046143721,0:t_wait:54.453770060192596;t_drive:148.68608378068984;fare:102,,,0,0,594.4537700601926,743.1398538408823,102,0
8,BasicRequest,1,240,240,2972;-1;-1,2982;-1;-1,,,,,207.37430426614094,2174.530711170986,0:t_wait:198.94606025998434;t_drive:237.374304266141;fare:217,,,0,6,438.94606025998434,722.6028765261252,217,0
22,BasicRequest,1,660,660,2983;-1;-1,2976;-1;-1,,,,,40.54091773259992,286.85326681928507,0:t_wait:133.85582951434196;t_drive:70.54091773259995;fare:100,,,0,1,717.5583026080276,788.0992203406275,100,0
14,BasicRequest,1,360,360,2973;-1;-1,2979;-1;-1,,,,,214.42192888872188,2029.9896384970039,0:t_wait:143.3895885608868;t_drive:304.6331597458647;fare:202,,,0,6,503.38958856088686,808.0227483067516,202,0
13,BasicRequest,1,360,360,2971;-1;-1,2966;-1;-1,,,,,293.52613269204465,2495.731738892211,0:t_wait:193.9506081574151;t_drive:323.5261326920446;fare:249,,,0,2,553.9506081574152,877.4767408494596,249,0
15,BasicRequest,1,420,420,2969;-1;-1,2975;-1;-1,,,,,235.2593142078593,2740.0593236874183,0:t_wait:133.98597505273892;t_drive:265.25931420785923;fare:274,,,0,4,530.4773371511654,865.7360113590244,274,0
20,BasicRequest,1,600,600,2989;-1;-1,2975;-1;-1,,,,,126.96715614988648,1557.6160345823869,0:t_wait:94.8208077236286;t_drive:156.96715614988648;fare:155,,,0,4,708.7688552091378,865.7360113590244,155,0
25,BasicRequest,1,660,660,2975;-1;-1,2971;-1;-1,,,,,194.97278947592864,2124.3296456327384,0:t_wait:262.749023379512;t_drive:224.97278947592872;fare:212,,,0.0,5.0,691.9130678735152,916.885857349444,212.0,0
30,BasicRequest,1,960,960,2981;-1;-1,2973;-1;-1,,,,,200.76132754348163,2129.1388889142154,0:,,,,,,,,0
24,BasicRequest,1,660,660,2989;-1;-1,2979;-1;-1,,,,,271.3270624720319,2658.2385110764562,0:t_wait:48.768855209137996;t_drive:331.327062472032;fare:265,,,0,4,708.7688552091378,1040.0959176811702,265,0
17,BasicRequest,1,540,540,2980;-1;-1,2990;-1;-1,,,,,293.09504204314567,2515.582030976973,0:t_wait:169.91334574126313;t_drive:323.09504204314567;fare:251,,,0,7,709.913345741263,1033.0083877844086,251,0
16,BasicRequest,1,540,540,2980;-1;-1,2993;-1;-1,,,,,280.34763418232785,2980.034721126262,0:t_wait:220.58940988194468;t_drive:310.34763418232774;fare:298,,,0,8,723.9075992690276,1034.2552334513555,298,0
28,BasicRequest,1,840,840,2985;-1;-1,2972;-1;-1,,,,,121.29189445184034,1503.3785975454011,0:t_wait:125.04318021931022;t_drive:151.29189445184034;fare:150,,,0,0,965.0431802193102,1116.3350746711506,150,0
29,BasicRequest,1,900,900,2975;-1;-1,2976;-1;-1,,,,,43.17503937342681,359.7919947785567,0:t_wait:157.1514129672007;t_drive:73.1750393734269;fare:100,,,0,1,1057.1514129672003,1130.326452340627,100,0
26,BasicRequest,1,660,660,2979;-1;-1,2969;-1;-1,,,,,176.08738061285237,2297.2581998185124,0:t_wait:237.0795325415752;t_drive:206.08738061285248;fare:229,,,0,3,897.0795325415752,1103.166913154428,229,0
19,BasicRequest,1,600,600,2981;-1;-1,2974;-1;-1,,,,,162.7755748063922,1500.4598469308316,0:t_wait:153.21232114285704;t_drive:192.77557480639223;fare:150,,,0,6,869.575347874548,1081.9645523952256,150,0
27,BasicRequest,1,780,780,2973;-1;-1,2977;-1;-1,,,,,143.39508320755175,1540.4760006777287,0:t_wait:200.76132754348168;t_drive:173.3950832075518;fare:154,,,0,1,957.0893904006243,1190.4844736081754,154,0
31,BasicRequest,1,1020,1020,2986;-1;-1,2983;-1;-1,,,,,133.855829514342,1163.3652970030207,0:t_wait:151.94718607912773;t_drive:163.85582951434208;fare:116,,,0,6,1045.3275661110908,1239.183395625433,116,0
41,BasicRequest,1,1320,1320,2968;-1;-1,2969;-1;-1,,,,,31.637641524974335,439.4116878468658,0:,,,,,,,,0
33,BasicRequest,1,1080,1080,2967;-1;-1,2985;-1;-1,,,,,260.0224157999395,2734.66777499916,0:t_wait:220.37259713002413;t_drive:290.0224157999396;fare:273,,,0,8,1085.8647695471266,1375.8871853470662,273,0
