request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
1746,BasicRequest,1,25200.0,25200.0,14350;-1;-1,20634;-1;-1,,,,,25.647503890000003,296.506,0:,,,,,,,,0
1887,BasicRequest,1,25200.0,25200.0,21912;-1;-1,6803;-1;-1,,,,,98.23643989,818.6370000000001,0:,,,,,,,,0
1852,BasicRequest,1,25200.0,25200.0,14279;-1;-1,18194;-1;-1,,,,,234.69280788999998,2449.443,0:,,,,,,,,0
285,BasicRequest,1,25200.0,25200.0,7204;-1;-1,22206;-1;-1,,,,,40.04255989000001,333.688,0:,,,,,,,,0
173,BasicRequest,1,25200.0,25200.0,6866;-1;-1,775;-1;-1,,,,,222.10379989,2655.1590000000006,0:,,,,,,,,0
564,BasicRequest,1,25200.0,25200.0,6815;-1;-1,21788;-1;-1,,,,,173.80048789,1946.681,0:,,,,,,,,0
912,BasicRequest,1,25200.0,25200.0,8536;-1;-1,7319;-1;-1,,,,,105.92891989,882.741,0:,,,,,,,,0
414,BasicRequest,1,25200.0,25200.0,8451;-1;-1,6656;-1;-1,,,,,241.41122046142857,2711.54,0:,,,,,,,,0
1393,BasicRequest,1,25200.0,25200.0,6894;-1;-1,21640;-1;-1,,,,,27.08447989,225.704,0:,,,,,,,,0
226,BasicRequest,1,25200.0,25200.0,14281;-1;-1,22144;-1;-1,,,,,64.47866389,852.807,0:,,,,,,,,0
1492,BasicRequest,1,25200.0,25200.0,20996;-1;-1,17434;-1;-1,,,,,113.22122389,1567.279,0:,,,,,,,,0
695,BasicRequest,1,25200.0,25200.0,7263;-1;-1,7198;-1;-1,,,,,170.84738389,1438.0990000000002,0:,,,,,,,,0
1755,BasicRequest,1,25200.0,25200.0,20661;-1;-1,21727;-1;-1,,,,,66.73012789,589.098,0:,,,,,,,,0
1631,BasicRequest,1,25200.0,25200.0,6949;-1;-1,6895;-1;-1,,,,,199.37870389,2074.0860000000002,0:,,,,,,,,0
1229,BasicRequest,1,25200.0,25200.0,22046;-1;-1,18649;-1;-1,,,,,76.94059189,751.208,0:,,,,,,,,0
237,BasicRequest,1,25200.0,25200.0,6784;-1;-1,6774;-1;-1,,,,,32.613047890000004,288.84900000000005,0:,,,,,,,,0
85,BasicRequest,1,25200.0,25200.0,17466;-1;-1,7414;-1;-1,,,,,128.44139989,1579.397,0:,,,,,,,,0
