orig_taz,dest_taz,orig_x,orig_y,dest_x,dest_y,car_time,car_dist,bike_regular_time,bike_regular_dist,bike_electric_time,bike_electric_dist,walk_time,walk_dist,pt_time,pt_dist,car_cost,pt_cost,request_id,rq_time,start,end,orig_median_pt,dest_median_pt,PTabove25,PTabove50,PTabove75,nsm_travel_time,nsm_wait_time,nsm_total_time,nsm_cost,walk_av,bike_av,car_av,pt_av,nsm_av,u_walk,u_bike,u_car,u_pt,u_nsm,exp_walk,exp_bike,exp_car,exp_pt,exp_nsm,exp_total,prc_walk,prc_bike,prc_car,prc_pt,prc_nsm,choice,nsmuser,served
4503,4503,35.1764586,31.7607815,35.1758403,31.7615779,148.94,1.43,240.85,0.97,190.04,0.97,123.36,0.17,297.88,2.5025,1.1125399999999999,6.0,461101,32218.50644,6662,5518,60.0,60.0,1,1,0,223.41,150,373.40999999999997,2,1.0,1.0,0,1.0,1.0,3.85328,-0.88008,3.812731,2.80424,3.5531800000000002,47.14745354066973,0.4147497303759168,0.0,16.514520100184637,34.924200047041396,99.00092341827168,0.47623246241325623,0.004189352139915194,0.0,0.16681177841556077,0.35276640703126777,4,1,-1
4605,4505,35.1656188,31.7563933,35.1749707,31.7595489,259.53,1.89,436.85,1.92,367.85,1.92,875.47,1.22,519.06,3.3075,1.47042,6.0,213186,29739.24401,22139,22100,70.0,70.0,1,1,0,389.29499999999996,150,539.295,2,1.0,1.0,0,1.0,1.0,2.3490599999999997,-1.2357,3.466293,2.36188,3.2214099999999997,10.475717920259848,0.2906312492720877,0.0,10.610881169228179,25.063434721693703,46.44066506045382,0.22557209089540717,0.006258119880362619,0.0,0.2284825412257886,0.5396872479984416,4,1,-1
4503,4302,35.1774853,31.756774,35.1857703,31.7516805,307.84,2.86,558.9,2.62,454.66,2.62,1124.17,1.56,615.68,5.005,2.2250799999999997,6.0,196915,29578.97216,21892,3811,60.0,60.0,1,1,0,461.76,150,611.76,2,1.0,1.0,0,1.0,1.0,1.8516599999999994,-1.4093200000000001,3.105542,2.16864,3.07648,6.370385590419314,0.24430935704470505,0.0,8.746380870435909,21.681947459393495,37.04302327729342,0.17197261526772367,0.00659528665400433,0.0,0.23611412073369434,0.5853179773445777,4,1,-1
4403,4302,35.1845057,31.7561631,35.1877106,31.7520793,200.62,1.78,312.84,1.56,256.05,1.56,820.0,1.14,401.24,3.115,1.3848400000000003,6.0,337430,30981.65211,7841,3802,60.0,60.0,1,1,0,300.93,150,450.93,2,1.0,1.0,0,1.0,1.0,2.4599999999999995,-1.0121,3.6140660000000002,2.5975200000000003,3.3981399999999997,11.704811539980849,0.3634549222553961,0.0,13.430389334156258,29.908418621088266,55.40707441748077,0.2112512104823931,0.006559720506389472,0.0,0.2423948471446276,0.5397942218665898,4,1,-1
4401,4401,35.1793197,31.7605953,35.1819862,31.7627881,271.8,1.13,225.29,1.13,184.33,1.13,401.45,0.56,543.6,1.9775,0.8791399999999999,6.0,52329,26786.04508,7575,7582,30.0,30.0,1,0,0,407.70000000000005,150,557.7,2,1.0,1.0,1,1.0,1.0,3.2970999999999995,-0.86866,3.648701,2.3128,3.1845999999999997,27.034126166306123,0.41951332062639485,38.42471990487832,10.10267257267705,24.15762342360806,100.13865538809596,0.2699669379575055,0.004189324482144632,0.38371515730823447,0.1008868406862792,0.24124173956583617,4,1,-1
4403,4006,35.1880126,31.7599457,35.1814845,31.7665373,163.57,1.42,291.75,1.45,238.49,1.45,935.03,1.3,327.14,2.485,1.10476,6.0,113689,28639.97227,7614,21792,60.0,40.0,1,0,0,245.355,150,395.355,2,1.0,1.0,1,1.0,1.0,2.2299399999999996,-0.97698,3.786194,2.7457200000000004,3.50929,9.299308104258238,0.376446251587809,44.08828055131241,15.5758244895321,33.424527942459314,102.76438733914986,0.09049154425032518,0.003663197546689361,0.4290229494173826,0.15156830973095503,0.32525399905464786,4,1,-1
4506,4506,35.1732243,31.7646393,35.1691106,31.7608354,74.34,0.75,167.25,0.76,135.24,0.76,551.71,0.77,148.68,1.3125,0.5835000000000001,6.0,296014,30565.23366,17444,17465,60.0,60.0,1,1,0,111.51,150,261.51,2,1.0,1.0,0,1.0,1.0,2.99658,-0.77048,4.147095,3.10264,3.77698,20.01696171735258,0.46279087536901087,0.0,22.25663129636299,43.68391689845585,86.42030078754043,0.23162337477351744,0.005355117618796038,0.0,0.25753938708313107,0.5054821205245555,4,1,-1
4502,4502,35.1756747,31.7647164,35.175197,31.7646938,116.45,1.11,49.81,0.1,38.36,0.1,72.52,0.1,232.9,1.9425,0.8635800000000001,6.0,63435,27122.86344,7125,7133,60.0,60.0,1,1,0,174.675,150,324.675,2,1.0,1.0,0,1.0,1.0,3.95496,-0.57672,3.9648470000000002,2.9342000000000006,3.6506499999999997,52.19360615842989,0.561737848308639,0.0,18.80645195395173,38.499682711498494,110.06147867218876,0.47422228728986354,0.00510385518244526,0.0,0.17087224504738457,0.34980161248030656,4,1,-1
4605,4501,35.1692248,31.75847,35.178003,31.7686028,173.25,1.71,343.94,1.71,281.3,1.71,1210.8,1.68,346.5,2.9925,1.3303800000000001,6.0,344526,31052.98051,6819,21502,70.0,80.0,1,1,0,259.875,150,409.875,2,1.0,1.0,0,1.0,1.0,1.6784,-1.0626,3.6878670000000002,2.7070000000000007,3.48025,5.3569779458184,0.345556195229613,0.0,14.984255252489557,32.46783802083361,53.15462741437118,0.10078102709774725,0.006500961666720036,0.0,0.28189935630022556,0.6108186549353073,4,1,-1
4406,4406,35.1851476,31.7538289,35.1830102,31.7564429,338.64,2.19,203.45,0.88,162.7,0.72,473.67,0.66,677.28,3.8325,1.7038200000000001,6.0,78727,27584.3748,5338,5375,50.0,50.0,1,0,0,507.96,150,657.96,2,1.0,1.0,1,1.0,1.0,3.1526599999999996,-0.8253999999999999,3.226383,2.04544,2.9840799999999996,23.39822114430771,0.43805973352208866,25.188385615451566,7.732560115958854,19.768307025393284,76.52553363463349,0.3057570464783832,0.005724360389482264,0.3291500812749896,0.10104549094525093,0.25832302091189413,4,1,-1
4604,4604,35.1680693,31.7569407,35.1667693,31.7527189,136.66,1.03,206.28,1.03,168.77,1.03,593.22,0.82,273.32,1.8025,0.80134,6.0,56738,26917.9887,14273,20618,70.0,70.0,1,1,0,204.99,150,354.99,2,1.0,1.0,1,1.0,1.0,2.9135599999999995,-0.83754,3.946211,2.8533600000000003,3.59002,18.422265231437652,0.4327738386582173,51.738956065078774,17.345966483011157,36.23480061524186,124.17476223342766,0.14835756396945535,0.0034851996563091884,0.4166624129935376,0.13968995125115408,0.29180487212954376,4,1,-1
4605,4505,35.1688556,31.7594777,35.1744448,31.7612638,94.84,0.71,140.88,0.7,115.26,0.7,566.58,0.79,189.68,1.2425,0.55238,6.0,450914,32116.88537,17446,5526,70.0,70.0,1,1,0,142.26,150,292.26,2,1.0,1.0,0,1.0,1.0,2.9668399999999995,-0.7305200000000001,4.116987,3.02064,3.7154799999999994,19.430422346935124,0.48165846255815903,0.0,20.504410308382788,41.07829993689934,81.49479105477542,0.23842532872898928,0.005910297533426646,0.0,0.2516039374173139,0.5040604363202701,4,1,-1
4504,4504,35.1781728,31.7545615,35.1780798,31.7545113,0.84,0.01,2.08,0.01,1.7,0.01,7.5,0.01,1.68,0.0175,0.0077800000000000005,6.0,428914,31897.21892,21734,5552,60.0,60.0,1,1,0,1.26,150,151.26,2,1.0,1.0,1,1.0,1.0,4.085,-0.5034,4.495597,3.3966400000000005,3.9974799999999995,59.44193775124387,0.6044719572470184,89.62165714665713,29.863589623310432,54.46073590957593,233.99239238803438,0.2540336339340045,0.00258329747851208,0.3830109869471128,0.12762632715762412,0.2327457544827465,4,1,-1
4605,4605,35.1621397,31.7571455,35.1663081,31.7580755,112.34,0.77,152.55,0.63,122.93,0.63,458.01,0.64,224.68,1.3475,0.5990600000000001,6.0,341761,31024.93016,7024,7005,70.0,70.0,1,1,0,168.51,150,318.51,2,1.0,1.0,0,1.0,1.0,3.1839799999999996,-0.74586,4.065649,2.95064,3.66298,24.142650339221223,0.47432620394839276,0.0,19.118185452351923,38.977322396753216,82.71248439227475,0.29188641251206476,0.005734638578849099,0.0,0.2311402636835503,0.47123868522553597,4,1,-1
4601,4601,35.1710748,31.7528836,35.1710174,31.7538267,43.97,0.31,202.57,0.42,186.51,0.42,177.33,0.25,87.94,0.5425,0.24118,6.0,38459,26364.13112,6777,14281,70.0,70.0,1,1,0,65.955,150,215.95499999999998,2,1.0,1.0,1,1.0,1.0,3.7453399999999997,-0.8730199999999999,4.327647000000001,3.22412,3.8680899999999996,42.32339472702999,0.41768822414997764,75.76579973500148,25.131448747168875,47.85090351706471,191.48923495041504,0.2210223187637121,0.002181262169949843,0.3956661049620913,0.13124209699660927,0.24988821710763745,4,1,-1
