sim_time,reservation_time_trigger,user_requests,request_batch
0,0.0,0.0,0.01332
60,0.0,0.0,0.0092
120,0.0,0.0,0.01205
180,0.0,7.000000000000001e-05,0.07434
240,0.0,0.0,0.01922
300,0.0,2e-05,0.03348
360,0.0,4e-05,0.09094
420,0.0,0.0,0.01165
480,0.0,0.0,0.01673
540,0.0,0.0,0.01125
600,0.0,0.0,0.01495
660,0.0,4e-05,0.01077
720,0.0,0.0,0.01541
780,0.0,0.0,0.01276
840,0.0,4e-05,0.06715
900,0.0,6.000000000000001e-05,0.01193
960,0.0,3e-05,0.01078
1020,0.0,0.0,0.01115
1080,0.0,5e-05,0.03107
1140,0.0,2e-05,0.01915
1200,0.0,3e-05,0.02315
1260,0.0,0.0,0.01196
1320,0.0,3e-05,0.01003
1380,0.0,0.0,0.01347
1440,0.0,3e-05,0.02473
1500,0.0,9e-05,0.0694
1560,0.0,3e-05,0.03515
1620,0.0,4e-05,0.0417
1680,0.0,6.000000000000001e-05,0.06021
1740,0.0,0.0,0.01914
1800,0.0,0.0,0.01178
1860,0.0,0.0,0.01275
1920,0.0,0.0,0.0151
1980,0.0,0.0,0.01591
2040,0.0,6e-05,0.02651
2100,0.0,4e-05,0.01399
2160,0.0,5e-05,0.02936
2220,0.0,0.0,0.0144
2280,0.0,3e-05,0.04327
2340,0.0,2e-05,0.00964
2400,0.0,2e-05,0.00962
2460,0.0,2e-05,0.01033
2520,0.0,3e-05,0.05607
2580,0.0,3e-05,0.03094
2640,0.0,0.0,0.01271
2700,0.0,2e-05,0.01141
2760,0.0,2e-05,0.05203
2820,0.0,0.0,0.00853
2880,0.0,5e-05,0.01433
2940,0.0,2e-05,0.03436
3000,0.0,3e-05,0.03909
3060,0.0,0.0001,0.0157
3120,0.0,0.0,0.008
3180,0.0,0.0,0.00984
3240,0.0,0.0,0.01162
3300,0.0,4e-05,0.01726
3360,0.0,3e-05,0.02395
3420,0.0,4e-05,0.01896
3480,0.0,0.0,0.00848
3540,0.0,0.0,0.00933
3600,0.0,5e-05,0.03259
3660,0.0,0.0,0.01378
3720,0.0,3e-05,0.01118
3780,0.0,0.0,0.01146
3840,0.0,7.000000000000001e-05,0.07407
3900,0.0,0.0,0.01624
3960,0.0,0.0,0.02848
4020,0.0,0.0,0.01407
4080,0.0,0.0,0.01188
4140,0.0,0.0,0.00835
4200,0.0,0.0,0.00899
4260,0.0,4e-05,0.01007
4320,0.0,9e-05,0.05079
4380,0.0,2e-05,0.01368
4440,0.0,7.000000000000001e-05,0.05015
4500,0.0,0.0,0.01701
4560,0.0,0.0001,0.01634
4620,0.0,5e-05,0.04773
4680,0.0,3e-05,0.01607
4740,0.0,0.0,0.0149
4800,0.0,0.0,0.01392
4860,0.0,2e-05,0.01086
4920,0.0,4e-05,0.03808
4980,0.0,4e-05,0.03321
5040,0.0,0.0,0.01273
5100,0.0,4e-05,0.0155
5160,0.0,3e-05,0.01841
5220,0.0,2e-05,0.02859
5280,0.0,0.0,0.0166
5340,0.0,0.0,0.01297
5400,0.0,6e-05,0.06132
5460,0.0,6.000000000000001e-05,0.04226
5520,0.0,9e-05,0.0536
5580,0.0,6.000000000000001e-05,0.08862
5640,0.0,0.0,0.05171
5700,0.0,5e-05,0.01349
5760,0.0,3e-05,0.03348
5820,0.0,0.0,0.01055
5880,0.0,0.0,0.0122
5940,0.0,0.0,0.01348
6000,0.0,0.0,0.01471
6060,0.0,3e-05,0.01201
6120,0.0,0.0,0.01355
6180,0.0,0.0,0.01337
6240,0.0,3e-05,0.00735
6300,0.0,0.0,0.01641
6360,0.0,0.0,0.01338
6420,0.0,3e-05,0.00787
6480,0.0,0.0,0.01238
6540,0.0,3e-05,0.00816
6600,0.0,5e-05,0.03802
6660,0.0,4e-05,0.04481
6720,0.0,0.0,0.0428
6780,0.0,0.0,0.01612
6840,0.0,4e-05,0.03075
6900,0.0,4e-05,0.01176
6960,0.0,0.0,0.01281
7020,0.0,0.0,0.01015
7080,0.0,0.0,0.00981
7140,0.0,3e-05,0.01033
