sim_time,reservation_time_trigger,charging_strategy,user_requests
0,0.0,0.0,0.0
60,0.0,0.0,0.0
120,0.0,0.0,0.0
180,0.0,0.03,0.04335
240,0.0,0.0,0.0
300,0.0,0.029,0.03492
360,0.0,0.0,0.03712
420,0.0,0.0,0.0
480,0.0,0.0,0.0
540,0.0,0.0,0.0
600,0.0,0.0,0.0
660,0.0,0.0,0.03016
720,0.0,0.0,0.0
780,0.0,0.0,0.0
840,0.0,0.05,0.03851
900,0.0,0.0,0.04423
960,0.0,0.0,0.03229
1020,0.0,0.0,0.0
1080,0.0,0.0,0.07909
1140,0.0,0.0,0.03223
1200,0.0,0.0,0.03378
1260,0.0,0.0,0.0
1320,0.0,0.024,0.03208
1380,0.0,0.0,0.0
1440,0.0,0.0,0.0189
1500,0.0,0.0,0.059539999999999996
1560,0.0,0.0,0.02064
1620,0.0,0.0,0.04095
1680,0.0,0.0,0.08307
1740,0.0,0.039,0.0
1800,0.0,0.0,0.0
1860,0.0,0.0,0.0
1920,0.0,0.0,0.0
1980,0.0,0.0,0.0
2040,0.0,0.0,0.026180000000000002
2100,0.0,0.0,0.04295
2160,0.0,0.0,0.01723
2220,0.0,0.0,0.0
2280,0.0,0.029,0.03506
2340,0.0,0.0,0.04381
2400,0.0,0.0,0.01496
2460,0.0,0.0,0.03972
2520,0.0,0.0,0.01919
2580,0.0,0.0,0.01732
2640,0.0,0.0,0.0
2700,0.0,0.0,0.0307
2760,0.0,0.0,0.03633
2820,0.0,0.0,0.0
2880,0.0,0.0,0.04897
2940,0.0,0.0,0.01745
3000,0.0,0.0,0.03341
3060,0.0,0.0,0.12755
3120,0.0,0.0,0.0
3180,0.0,0.0,0.0
3240,0.0,0.0,0.0
3300,0.0,0.026,0.02865
3360,0.0,0.029,0.02505
3420,0.0,0.0,0.02398
3480,0.0,0.0,0.0
3540,0.0,0.0,0.0
3600,0.0,0.0,0.06885
3660,0.0,0.0,0.0
3720,0.0,0.0,0.06933
3780,0.0,0.0,0.0
3840,0.0,0.0,0.12796
3900,0.0,0.0,0.0
3960,0.0,0.0,0.0
4020,0.0,0.0,0.0
4080,0.0,0.0,0.0
4140,0.0,0.0,0.0
4200,0.0,0.0,0.0
4260,0.0,0.025,0.02315
4320,0.0,0.026,0.05003
4380,0.0,0.0,0.05163
4440,0.0,0.0,0.04584
4500,0.0,0.0,0.0
4560,0.0,0.0,0.02897
4620,0.0,0.03,0.05261
4680,0.0,0.0,0.02318
4740,0.0,0.0,0.0
4800,0.0,0.0,0.0
4860,0.0,0.0,0.03483
4920,0.0,0.0,0.03513
4980,0.0,0.0,0.0443
5040,0.0,0.0,0.0
5100,0.0,0.0,0.03821
5160,0.0,0.0,0.0778
5220,0.0,0.0,0.049
5280,0.0,0.0,0.0
5340,0.0,0.044,0.0
5400,0.0,0.0,0.056029999999999996
5460,0.0,0.0,0.09887
5520,0.0,0.019,0.07450000000000001
5580,0.0,0.0,0.05801
5640,0.0,0.0,0.0
5700,0.0,0.0,0.039760000000000004
5760,0.0,0.0,0.01513
5820,0.0,0.0,0.0
5880,0.0,0.0,0.0
5940,0.0,0.0,0.0
6000,0.0,0.0,0.0
6060,0.0,0.0,0.03455
6120,0.0,0.0,0.0
6180,0.0,0.0,0.0
6240,0.0,0.0,0.04209
6300,0.0,0.0,0.0
6360,0.0,0.0,0.0
6420,0.0,0.0,0.03645
6480,0.0,0.0,0.0
6540,0.0,0.0,0.01897
6600,0.0,0.0,0.058039999999999994
6660,0.0,0.029,0.05952
6720,0.0,0.0,0.0
6780,0.0,0.0,0.0
6840,0.0,0.027,0.06147
6900,0.0,0.0,0.0287
6960,0.0,0.0,0.0
7020,0.0,0.0,0.0
7080,0.0,0.0,0.0
7140,0.0,0.053,0.02236
