request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
4,BasicRequest,1,360,360,2977;-1;-1,2983;-1;-1,,,,,13.47694671413731,112.30788928447757,0:t_wait:79.67189809945614;t_drive:43.476946714137284;fare:100,,,0,3,360,403.47694671413734,100,0
3,BasicRequest,1,360,360,2982;-1;-1,2980;-1;-1,,,,,158.13938860976756,1274.3900625592087,0:t_wait:0;t_drive:188.1393886097676;fare:127,,,0,2,360,548.1393886097674,127,0
0,BasicRequest,1,180,180,2966;-1;-1,2988;-1;-1,,,,,278.91382899027775,2634.7327710788463,0:t_wait:229.9869602780313;t_drive:308.91382899027775;fare:263,,,0,1,409.9869602780313,718.9007892683087,263,0
5,BasicRequest,1,660,660,2983;-1;-1,2985;-1;-1,,,,,77.7585747541395,660.473174979857,0:t_wait:0;t_drive:107.75857475413954;fare:100,,,0,3,660.0,767.7585747541395,100,0
2,BasicRequest,1,300,300,2970;-1;-1,2987;-1;-1,,,,,171.63648313227776,1834.4631759372724,0:t_wait:225.0145605330424;t_drive:201.63648313227782;fare:183,,,0,4,525.0145605330423,726.6510436653198,183,0
1,BasicRequest,1,180,180,2966;-1;-1,2973;-1;-1,,,,,296.69307469402173,2980.382453472116,0:t_wait:229.9869602780313;t_drive:376.3414221225932;fare:298,,,0,1,409.9869602780313,786.328382400624,298,0
9,BasicRequest,1,900,900,2976;-1;-1,2982;-1;-1,,,,,113.5625231680923,828.4892168769597,0:,,,,,,,,0
11,BasicRequest,1,1080,1080,2977;-1;-1,2981;-1;-1,,,,,113.57192524896666,969.4191104080554,0:,,,,,,,,0
12,BasicRequest,1,1080,1080,2992;-1;-1,2980;-1;-1,,,,,198.06309279928786,2377.7959948882412,0:,,,,,,,,0
8,BasicRequest,1,900,900,2977;-1;-1,2986;-1;-1,,,,,111.94455948550961,1060.4065922814564,0:t_wait:83.83847853172324;t_drive:141.94455948550967;fare:106,,,0.0,3.0,983.8384785317231,1125.7830380172325,106.0,0
13,BasicRequest,1,1140,1140,2987;-1;-1,2984;-1;-1,,,,,127.4257940665604,1389.2919531006646,0:,,,,,,,,0
14,BasicRequest,1,1200,1200,2975;-1;-1,2981;-1;-1,,,,,108.18066588994196,924.4919490828495,0:,,,,,,,,0
7,BasicRequest,1,840,840,2966;-1;-1,2967;-1;-1,,,,,103.09018014133937,889.1057434150202,0:t_wait:280.00167958811517;t_drive:133.09018014133926;fare:100,,,0,2,1120.0016795881152,1253.091859729454,100,0
6,BasicRequest,1,840,840,2993;-1;-1,2988;-1;-1,,,,,208.72429496749368,2316.518160262808,0:t_wait:220.58874104780648;t_drive:238.72429496749373;fare:231,,,0.0,4.0,1060.5887410478058,1299.3130360152993,231.0,0
15,BasicRequest,1,1320,1320,2993;-1;-1,2969;-1;-1,,,,,63.79644102995483,886.0616809715947,0:,,,,,,,,0
10,BasicRequest,1,960,960,2977;-1;-1,2991;-1;-1,,,,,254.82775117248474,2383.691365711668,0:t_wait:23.838478531723126;t_drive:361.4606871724849;fare:238,,,0,3,983.8384785317231,1345.299165704207,238,0
16,BasicRequest,1,1440,1440,2977;-1;-1,2979;-1;-1,,,,,85.83247653831305,715.2706378192755,0:,,,,,,,,0
17,BasicRequest,1,1500,1500,2984;-1;-1,2972;-1;-1,,,,,166.20078449443824,1890.1043999290782,0:,,,,,,,,0
18,BasicRequest,1,1500,1500,2989;-1;-1,2977;-1;-1,,,,,200.30021679086175,2168.7248732571807,0:,,,,,,,,0
19,BasicRequest,1,1500,1500,2989;-1;-1,2975;-1;-1,,,,,126.96715614988648,1557.6160345823869,0:,,,,,,,,0
20,BasicRequest,1,1560,1560,2981;-1;-1,2979;-1;-1,,,,,36.17924043220354,176.13052741122,0:,,,,,,,,0
21,BasicRequest,1,1620,1620,2978;-1;-1,2979;-1;-1,,,,,37.42546113022892,311.87884275190765,0:,,,,,,,,0
22,BasicRequest,1,1620,1620,2985;-1;-1,2982;-1;-1,,,,,129.65668328940987,1095.1193087163879,0:,,,,,,,,0
25,BasicRequest,1,1680,1680,2990;-1;-1,2982;-1;-1,,,,,224.7451087756582,1872.8759064638184,0:,,,,,,,,0
26,BasicRequest,1,2040,2040,2991;-1;-1,2993;-1;-1,,,,,56.75290494872581,788.234790954525,0:,,,,,,,,0
27,BasicRequest,1,2040,2040,2969;-1;-1,2993;-1;-1,,,,,75.16881497004519,1044.011319028405,0:,,,,,,,,0
23,BasicRequest,1,1680,1680,2967;-1;-1,2990;-1;-1,,,,,137.56405431369114,1532.7491772517287,0:t_wait:171.15957012276795;t_drive:167.56405431369103;fare:153,,,0.0,1.0,1851.1595701227677,2048.723624436459,153.0,0
28,BasicRequest,1,2100,2100,2973;-1;-1,2981;-1;-1,,,,,178.24268845651838,1853.8591110857842,0:,,,,,,,,0
29,BasicRequest,1,2160,2160,2981;-1;-1,2976;-1;-1,,,,,135.07555748348486,1148.6160456957073,0:,,,,,,,,0
30,BasicRequest,1,2280,2280,2986;-1;-1,2984;-1;-1,,,,,83.35824565445503,777.242669599201,0:,,,,,,,,0
24,BasicRequest,1,1680,1680,2969;-1;-1,2977;-1;-1,,,,,256.65680684883455,2203.346162362212,0:t_wait:259.091241605596;t_drive:385.49864684883437;fare:220,,,0.0,1.0,1939.091241605596,2324.589888454429,220.0,0
31,BasicRequest,1,2340,2340,2989;-1;-1,2978;-1;-1,,,,,246.70419219894586,2555.4246683245487,0:,,,,,,,,0
32,BasicRequest,1,2400,2400,2981;-1;-1,2969;-1;-1,,,,,173.93680390219876,2279.3367272297323,0:,,,,,,,,0
33,BasicRequest,1,2460,2460,2992;-1;-1,2986;-1;-1,,,,,282.5871709173432,3048.067151629767,0:,,,,,,,,0
34,BasicRequest,1,2520,2520,2990;-1;-1,2970;-1;-1,,,,,11.053039959097989,92.10866632581656,0:,,,,,,,,0
35,BasicRequest,1,2580,2580,2990;-1;-1,2988;-1;-1,,,,,136.17123910667578,1181.7688504120974,0:,,,,,,,,0
36,BasicRequest,1,2700,2700,2972;-1;-1,2985;-1;-1,,,,,147.11132383387394,1272.6774024545982,0:,,,,,,,,0
38,BasicRequest,1,2880,2880,2993;-1;-1,2972;-1;-1,,,,,192.06001237033516,2183.7855051435427,0:,,,,,,,,0
39,BasicRequest,1,2880,2880,2992;-1;-1,2982;-1;-1,,,,,275.14926418952024,3428.3669323290324,0:,,,,,,,,0
40,BasicRequest,1,2940,2940,2990;-1;-1,2981;-1;-1,,,,,207.20330926693822,2611.7286438911515,0:,,,,,,,,0
41,BasicRequest,1,3000,3000,2977;-1;-1,2982;-1;-1,,,,,83.40450190054383,577.1723729807225,0:,,,,,,,,0
43,BasicRequest,1,3060,3060,2973;-1;-1,2978;-1;-1,,,,,189.79905861563583,1927.1757957450964,0:,,,,,,,,0
44,BasicRequest,1,3060,3060,2967;-1;-1,2981;-1;-1,,,,,220.37879558062934,2961.6368211428808,0:,,,,,,,,0
45,BasicRequest,1,3300,3300,2982;-1;-1,2971;-1;-1,,,,,289.8986440772667,2915.378433977222,0:,,,,,,,,0
46,BasicRequest,1,3360,3360,2976;-1;-1,2987;-1;-1,,,,,125.94386434095271,1410.1941526762305,0:,,,,,,,,0
47,BasicRequest,1,3420,3420,2971;-1;-1,2985;-1;-1,,,,,186.57127949046634,1654.6552573063896,0:,,,,,,,,0
37,BasicRequest,1,2760,2760,2970;-1;-1,2972;-1;-1,,,,,108.45391655041928,956.9275289670157,0:t_wait:295.9680065497055;t_drive:138.4539165504193;fare:100,,,0,4,3315.088667318168,3453.5425838685883,100,0
48,BasicRequest,1,3600,3600,2967;-1;-1,2982;-1;-1,,,,,273.2935470893493,3402.5930837155474,0:,,,,,,,,0
49,BasicRequest,1,3600,3600,2983;-1;-1,2977;-1;-1,,,,,14.744653285862693,122.87211071552242,0:,,,,,,,,0
42,BasicRequest,1,3060,3060,2986;-1;-1,2970;-1;-1,,,,,208.5752713127597,2037.3895405612639,0:t_wait:276.9091535226603;t_drive:238.57527131275992;fare:203,,,0,4,3596.0298142911233,3834.6050856038846,203,0
52,BasicRequest,1,3840,3840,2969;-1;-1,2992;-1;-1,,,,,54.27810741700095,753.8626030139021,0:t_wait:133.98597505273892;t_drive:84.27810741700114;fare:100,,,0,3,3973.985975052738,4058.2640824697396,100,0
51,BasicRequest,1,3840,3840,2966;-1;-1,2988;-1;-1,,,,,278.91382899027775,2634.7327710788463,0:t_wait:0;t_drive:308.9138289902776;fare:263,,,0,2,3840,4148.913828990278,263,0
