time,event,station_id,ch_op_id,vid,op_id,veh_type,current_soc,socket_id,socket_power,initial_soc,transferred_power,connection_duration
2414.187017544738,detach,0,op_0,32,0,default_vehtype,1.0,0,15,0.809,9.559112573103073,2294.187017544738
3418.467944257109,detach,0,op_0,8,0,default_vehtype,1.0,0,15,0.916,4.184503861301547,1004.2809267123712
4440,detach,1,op_0,10,0,default_vehtype,0.897,4,7.5,0.719,8.874999999999812,4260
4620,detach,1,op_0,26,0,default_vehtype,0.895,1,7.5,0.707,9.374999999999801,4500
5100,detach,1,op_0,14,0,default_vehtype,0.946,4,7.5,0.933,0.6249999999999867,300
5160,detach,1,op_0,39,0,default_vehtype,0.947,4,7.5,0.944,0.12499999999999734,60
5400,detach,1,op_0,14,0,default_vehtype,0.951,4,7.5,0.946,0.24999999999999467,120
5460,detach,1,op_0,17,0,default_vehtype,0.917,1,7.5,0.89,1.3749999999999707,660
5520,detach,1,op_0,6,0,default_vehtype,0.855,3,7.5,0.633,11.124999999999762,5340
5520,detach,1,op_0,22,0,default_vehtype,0.845,2,7.5,0.622,11.124999999999762,5340
6240,detach,1,op_0,2,0,default_vehtype,0.967,1,7.5,0.96,0.374999999999992,180
6240,detach,1,op_0,17,0,default_vehtype,0.919,3,7.5,0.917,0.12499999999999734,60
6600,detach,1,op_0,14,0,default_vehtype,0.96,1,7.5,0.95,0.49999999999998934,240
6600,detach,1,op_0,17,0,default_vehtype,0.929,3,7.5,0.919,0.49999999999998934,240
6660,detach,1,op_0,26,0,default_vehtype,0.927,2,7.5,0.895,1.6249999999999654,780
6660,detach,1,op_0,21,0,default_vehtype,0.874,4,7.5,0.834,1.9999999999999574,960
7937.747942068388,detach,1,op_0,2,0,default_vehtype,1.0,1,7.5,0.967,1.6619748793091083,797.7479420683876
8779.772239699687,detach,1,op_0,17,0,default_vehtype,1.0,2,7.5,0.929,3.5411921660409353,1699.772239699687
8897.315435555767,detach,0,op_0,5,0,default_vehtype,1.0,0,15,0.543,22.82853121374441,5478.8474912986585
10992.713870898699,detach,1,op_0,12,0,default_vehtype,1.0,0,7.5,0.547,22.651487231038477,10872.713870898699
