request_id,rq_type,number_passenger,rq_time,earliest_pickup_time,start,end,pickup_location,dropoff_location,access_time,egress_time,direct_route_travel_time,direct_route_distance,offers,decision_time,chosen_operator_id,operator_id,vehicle_id,pickup_time,dropoff_time,fare,modal_state
4,BasicRequest,1,360,360,2977;-1;-1,2983;-1;-1,,,,,13.47694671413731,112.30788928447757,0:t_wait:79.67189809945614;t_drive:43.476946714137284;fare:100,,,0,7,439.6718980994563,483.14884481359366,100,0
p_24,BasicParcelRequest,1,0,,2966;-1;-1,2970;-1;-1,,,,,180.9694378426999,1660.3445869925658,0:t_wait:0;t_drive:0;fare:0,,,0,5,334.03520157294645,545.0046394156465,,0
0,BasicRequest,1,180,180.0,2966;-1;-1,2988;-1;-1,,,,,278.91382899027775,2634.7327710788463,0:t_wait:154.03520157294633;t_drive:308.9138289902778;fare:263,,,0,5,334.03520157294645,700.1228385632241,263.0,0
p_0,BasicParcelRequest,1,0,,2966;-1;-1,2988;-1;-1,,,,,278.91382899027775,2634.7327710788463,0:t_wait:0;t_drive:0;fare:0,,,0,5,334.03520157294645,700.1228385632241,,0
1,BasicRequest,1,180,180,2966;-1;-1,2973;-1;-1,,,,,296.69307469402173,2980.382453472116,0:t_wait:154.03520157294633;t_drive:376.34142212259326;fare:298,,,0,5,334.03520157294645,767.5504316955395,298,0
5,BasicRequest,1,660,660,2983;-1;-1,2985;-1;-1,,,,,77.7585747541395,660.473174979857,0:t_wait:13.476946714137284;t_drive:107.75857475413954;fare:100,,,0,4,673.4769467141373,781.2355214682768,100,0
2,BasicRequest,1,300,300,2970;-1;-1,2987;-1;-1,,,,,171.63648313227776,1834.4631759372724,0:t_wait:245.00463941564635;t_drive:262.8662225608492;fare:183,,,0,5,545.0046394156465,807.8708619764955,183,0
3,BasicRequest,1,360,360,2982;-1;-1,2980;-1;-1,,,,,158.13938860976756,1274.3900625592087,0:t_wait:0;t_drive:188.1393886097676;fare:127,,,0,7,611.2980000000001,799.4373886097677,127,0
p_25,BasicParcelRequest,1,0,,2975;-1;-1,2976;-1;-1,,,,,43.17503937342681,359.7919947785567,0:t_wait:0;t_drive:0;fare:0,,,0,4,910.5054178907479,1013.6804572641748,,0
6,BasicRequest,1,840,840,2993;-1;-1,2988;-1;-1,,,,,208.72429496749368,2316.518160262808,0:t_wait:20.890707553044194;t_drive:238.72429496749373;fare:231,,,0,3,860.8907075530442,1099.6150025205377,231,0
9,BasicRequest,1,900,900,2976;-1;-1,2982;-1;-1,,,,,113.5625231680923,828.4892168769597,0:t_wait:53.68045726417472;t_drive:143.56252316809218;fare:100,,,0,4,1013.6804572641748,1194.0758832894103,100,0
8,BasicRequest,1,900,900,2977;-1;-1,2986;-1;-1,,,,,111.94455948550961,1060.4065922814564,0:t_wait:91.50228744905871;t_drive:141.94455948550967;fare:106,,,0,0,1095.7111445919156,1237.6557040774248,106,0
7,BasicRequest,1,840,840,2966;-1;-1,2967;-1;-1,,,,,103.09018014133937,889.1057434150202,0:t_wait:280.00167958811517;t_drive:133.09018014133926;fare:100,,,0,7,1120.0016795881152,1253.091859729454,100,0
13,BasicRequest,1,1140,1140.0,2987;-1;-1,2984;-1;-1,,,,,127.4257940665604,1389.2919531006646,0:t_wait:0;t_drive:157.42579406656046;fare:138,,,0,5,1140.0,1297.42579406656,138.0,0
p_8,BasicParcelRequest,1,0,,2987;-1;-1,2984;-1;-1,,,,,127.4257940665604,1389.2919531006646,0:t_wait:0;t_drive:0;fare:0,,,0,5,1140.0,1297.42579406656,,0
p_5,BasicParcelRequest,1,0,,2966;-1;-1,2992;-1;-1,,,,,131.62933504116845,1285.4828948015352,0:t_wait:0;t_drive:0;fare:0,,,0,7,1120.0016795881152,1311.631014629283,,0
10,BasicRequest,1,960,960.0,2977;-1;-1,2991;-1;-1,,,,,254.82775117248474,2383.691365711668,0:t_wait:31.5022874490586;t_drive:361.46068717248465;fare:238,,,0,0,1095.7111445919156,1457.1718317643995,238.0,0
11,BasicRequest,1,1080,1080.0,2977;-1;-1,2981;-1;-1,,,,,113.57192524896666,969.4191104080554,0:t_wait:186.91487853172362;t_drive:143.57192524896664;fare:100,,,0,4,1303.7477813888668,1447.3197066378336,100.0,0
p_29,BasicParcelRequest,1,0,,2978;-1;-1,2981;-1;-1,,,,,68.97806069802537,459.0023153406877,0:t_wait:0;t_drive:0;fare:0,,,0,4,1122.2454939398078,1447.3197066378336,,0
